1861,Male,32,104494.0,28.0,Healthcare,6,4
354,Male,23,181760.0,35.0,Healthcare,14,3
1334,Female,97,133614.0,58.0,Artist,7,4
906,Female,66,118385.0,8.0,Healthcare,10,3
1290,Female,75,86297.0,42.0,Executive,9,4
1274,Female,72,152405.0,4.0,Artist,1,4
939,Female,0,116782.0,73.0,Artist,9,5
1732,Male,20,103195.0,68.0,Doctor,0,7
66,Male,18,9000.0,59.0,Entertainment,0,2
1324,Male,27,82474.0,31.0,Artist,9,3
57,Female,51,71000.0,50.0,Healthcare,9,4
1293,Male,24,70733.0,63.0,Artist,5,3
1119,Female,2,105391.0,42.0,Executive,1,7
585,Female,10,112818.0,85.0,Marketing,15,7
375,Male,85,140478.0,43.0,Doctor,6,4
276,Male,78,65000.0,89.0,Lawyer,1,2
747,Male,5,168670.0,37.0,Artist,1,3
129,Male,59,38000.0,11.0,Engineer,0,2
1647,Male,45,138775.0,17.0,Executive,0,7
1853,Female,46,165810.0,38.0,Healthcare,3,5
675,Male,71,84622.0,45.0,Doctor,0,6
1665,Male,82,186130.0,61.0,Lawyer,3,7
1982,Female,62,149797.0,19.0,Artist,5,6
1084,Female,6,101031.0,28.0,Artist,1,1
1923,Female,97,75125.0,89.0,Executive,8,3
100,Male,20,80000.0,49.0,Engineer,3,3
1180,Male,70,87976.0,38.0,Lawyer,1,6
965,Male,89,130431.0,52.0,Healthcare,6,3
793,Male,70,152069.0,42.0,Entertainment,4,4
30,Female,23,20000.0,87.0,Artist,5,4
629,Female,43,150444.0,27.0,Artist,13,4
945,Female,20,184801.0,8.0,Lawyer,1,1
573,Female,91,181775.0,61.0,Artist,4,5
908,Female,1,161212.0,14.0,Artist,9,6
1081,Female,81,155396.0,1.0,Engineer,9,5
451,Male,11,88452.0,40.0,Healthcare,8,6
1610,Male,71,118096.0,36.0,Lawyer,0,3
1291,Female,98,65031.0,23.0,Artist,0,4
1079,Male,28,130267.0,45.0,Engineer,8,4
255,Female,46,27000.0,32.0,Engineer,4,4
125,Female,23,12000.0,29.0,Entertainment,9,2
1928,Male,77,151985.0,29.0,Healthcare,4,7
252,Female,27,44000.0,65.0,Doctor,8,1
586,Male,49,53509.0,98.0,Artist,5,4
1569,Male,37,87764.0,59.0,Engineer,9,7
825,Female,60,169346.0,55.0,Healthcare,7,2
508,Male,36,88565.0,16.0,Healthcare,1,5
890,Female,75,65528.0,73.0,Marketing,1,5
71,Male,70,91000.0,55.0,Healthcare,8,2
1609,Male,17,131863.0,94.0,Artist,1,7
1533,Male,18,107794.0,17.0,Engineer,0,5
248,Female,32,7000.0,16.0,Artist,1,2
1451,Male,72,146432.0,25.0,Artist,6,1
213,Male,86,12000.0,70.0,Marketing,2,4
910,Female,52,167214.0,94.0,Homemaker,8,7
1742,Female,92,152429.0,76.0,Entertainment,0,2
1245,Female,58,78795.0,44.0,Engineer,0,6
1697,Female,88,104098.0,48.0,Healthcare,1,6
1183,Female,73,108159.0,18.0,Entertainment,8,7
362,Male,99,63364.0,61.0,Entertainment,1,2
1474,Female,80,178866.0,97.0,Artist,8,4
679,Female,77,180831.0,33.0,Healthcare,1,2
1622,Female,94,86172.0,55.0,Artist,4,4
1090,Female,84,53622.0,27.0,Artist,0,3
1988,Male,63,59244.0,80.0,Artist,7,1
1848,Female,26,145491.0,72.0,Entertainment,9,5
988,Female,60,185306.0,47.0,Entertainment,0,2
1513,Female,30,73107.0,48.0,Artist,9,1
112,Female,19,25000.0,54.0,Artist,0,1
1488,Female,23,91549.0,23.0,Artist,4,3
1454,Female,63,116095.0,8.0,Artist,5,1
384,Female,10,184522.0,43.0,Artist,0,2
1396,Female,34,105448.0,40.0,Artist,0,5
1055,Female,38,166644.0,66.0,Artist,8,6
756,Female,98,87878.0,55.0,Artist,1,6
325,Female,91,102861.0,40.0,Artist,4,1
1624,Male,81,71543.0,1.0,Entertainment,1,4
788,Male,67,107409.0,2.0,Artist,1,6
369,Male,72,106681.0,15.0,Healthcare,9,5
1820,Female,66,184060.0,98.0,Artist,10,5
70,Female,32,97000.0,47.0,Homemaker,2,2
858,Male,21,155151.0,16.0,Marketing,14,3
1484,Female,19,147052.0,86.0,,9,4
1556,Male,96,172039.0,51.0,Lawyer,0,6
1692,Female,57,163473.0,52.0,Artist,0,1
1475,Female,94,183643.0,51.0,Artist,5,5
1799,Male,72,82377.0,37.0,Engineer,9,2
479,Male,39,187536.0,66.0,Healthcare,3,6
282,Female,43,85000.0,63.0,Marketing,1,2
1648,Female,49,68901.0,70.0,Doctor,7,7
1557,Female,48,70844.0,22.0,Entertainment,0,3
1730,Male,15,164520.0,47.0,Artist,1,7
211,Female,1,57000.0,93.0,Engineer,1,2
298,Male,62,87000.0,41.0,Doctor,6,2
1885,Female,63,155638.0,81.0,,1,4
1834,Male,12,55639.0,63.0,Healthcare,8,1
652,Male,74,91794.0,83.0,Entertainment,0,7
1234,Male,21,184088.0,21.0,Entertainment,11,7
1503,Female,63,116971.0,76.0,Executive,7,5
1932,Male,90,158280.0,92.0,Executive,6,7
917,Female,24,67582.0,13.0,Artist,1,3
994,Female,50,69814.0,53.0,Artist,9,2
430,Male,28,179911.0,24.0,Engineer,1,1
1371,Male,27,84658.0,66.0,Lawyer,4,6
240,Female,14,50000.0,11.0,Artist,1,2
880,Male,25,128258.0,48.0,Executive,0,2
621,Male,58,123083.0,44.0,Entertainment,6,5
257,Male,12,38000.0,18.0,Executive,10,1
612,Female,7,74928.0,12.0,Artist,0,6
545,Female,33,88763.0,1.0,Entertainment,1,1
772,Male,56,104600.0,57.0,Entertainment,6,3
1420,Female,55,75033.0,30.0,Engineer,5,5
